model,auuc,qini,fraction,n_selected,control_churn_rate,treated_churn_rate,uplift_rate,estimated_prevented_churns,roc_auc,average_precision,brier_score,log_loss
outcome_risk_catboost,0.003627972254775755,0.002227512437636566,0.20008406893652794,1904,0.13537117903930132,0.10857538035961273,0.026795798679688593,51.01920068612708,0.8371696094168005,0.13862999737335527,0.033537236522577195,0.13404055713967358
s_learner_catboost,-0.00023519893869926135,-0.0016356587558384505,0.20008406893652794,1904,0.07352941176470588,0.07983193277310924,-0.006302521008403353,-11.999999999999984,0.8372854596554002,0.19815070758973166,0.030240185584531298,0.12138026976470451
t_learner_catboost,-0.0005715383552185397,-0.001971998172357729,0.20008406893652794,1904,0.04656319290465632,0.04817618719889883,-0.0016129942942425118,-3.0711411362377428,0.8188905652316135,0.1553644951624531,0.031102371906700833,0.12658666962355206
t_learner_logistic,-0.0018216456039461537,-0.003222105421085343,0.20008406893652794,1904,0.045064377682403435,0.056328233657858134,-0.0112638559754547,-21.44638177726575,0.7632010320633924,0.11513248089194156,0.11046571471091697,0.4064349870164832
